obj_name,nb_kp,descriptors
obj2,9,"[[  0.   0.   0. ...   0.   3. 108.]
 [  0.  54.  46. ...   0.   0.   1.]
 [  0.  15.  68. ...   0.   0.   0.]
 ...
 [ 35. 119.  11. ...   0.  12. 119.]
 [  0.  45. 144. ...   0.   0.   1.]
 [ 32. 100.  84. ...   0.   0.   2.]]"
obj45,179,"[[ 3.  9.  0. ...  0.  0. 43.]
 [51.  3.  2. ...  0.  0.  5.]
 [ 0.  4. 29. ...  0.  0.  4.]
 ...
 [ 0.  2.  1. ...  2.  4.  2.]
 [ 4.  3.  0. ...  1.  6.  1.]
 [26. 99. 45. ...  0.  0.  0.]]"
obj30,213,"[[ 0.  0.  0. ... 59.  2. 13.]
 [ 0.  0.  0. ... 26.  1.  1.]
 [ 0.  0.  0. ...  1.  1.  7.]
 ...
 [ 3. 17. 26. ... 59.  6.  0.]
 [16. 23. 66. ... 13.  0.  0.]
 [ 1. 27. 36. ... 89.  5.  0.]]"
obj16,391,"[[  0.   0.   0. ...   0.   2.  76.]
 [  0.   0.   0. ...  58.  19.  24.]
 [ 29.  25.   0. ...  15.  49.  15.]
 ...
 [  0.   0.   0. ...   1.  73. 101.]
 [  2.   1.   0. ...  11.  31.  30.]
 [  1.   0.   0. ...   1.  31.  95.]]"
obj65,162,"[[ 1.  0.  0. ...  2.  4.  8.]
 [ 3.  0.  0. ... 33. 22.  7.]
 [ 1.  0.  0. ... 12.  0.  0.]
 ...
 [62.  5.  0. ... 45.  2.  0.]
 [31.  0.  0. ... 12. 13. 49.]
 [54.  4.  0. ... 26. 24. 27.]]"
obj89,110,"[[ 25. 148.  15. ...   0.   0.   0.]
 [  2.   0.   0. ...   0.   0.   0.]
 [  2.  21.   3. ...   0.   0.   0.]
 ...
 [  0.   0.   0. ... 115.  15.   9.]
 [  6.   5.   0. ...   0.   0.   2.]
 [ 14.   0.   0. ...  12.  45.   3.]]"
obj9,150,"[[ 70.   6.   1. ...   0.   0.   0.]
 [  4.  21. 101. ...   0.   0.   0.]
 [137.  23.   0. ...   0.   0.   0.]
 ...
 [ 21.   1.   0. ...   0.   0.   0.]
 [  4.   6. 117. ...   0.   0.   0.]
 [ 27.   5.   5. ...   0.   0.   6.]]"
obj48,174,"[[  0.   0.   0. ...  87.   1.   3.]
 [ 45. 110.   1. ...   3.   1.   5.]
 [  0.   0.   0. ...  62.   0.   0.]
 ...
 [ 34.  29.  11. ...   0.   0.   0.]
 [  0.  12. 125. ...   3.   0.   4.]
 [ 47.  19.   1. ...   0.   0.   0.]]"
obj89,34,"[[ 21. 146.   8. ...   0.   0.   0.]
 [  1.  77.  36. ...   0.   0.   0.]
 [ 15.   2.   0. ...   0.   0.   0.]
 ...
 [  2.   0.   0. ...   0.  75.  89.]
 [  0.   7. 140. ...   0.   0.   1.]
 [  1.  35. 150. ...   0.   0.   0.]]"
obj77,101,"[[  0.  10.  24. ...   0.   0.   1.]
 [ 11.  38.  19. ...   0.   0.   1.]
 [108.  83.   8. ...   7.  13.  38.]
 ...
 [ 18. 112.  86. ...  14.   0.   0.]
 [ 16.  24.  28. ...   0.   0.   0.]
 [ 76. 141.   5. ...   6.   0.   0.]]"
obj26,187,"[[ 54.   5.   2. ...   0.   0.   0.]
 [110.  50.   2. ...   0.   0.   1.]
 [  1.  75.  29. ...   0.   0.   1.]
 ...
 [ 21.  42.  12. ...   0.   0.   0.]
 [  1. 154.  99. ...   0.   0.   1.]
 [ 15.   9.   2. ...   0.   0.   8.]]"
obj57,256,"[[  2.  28.   3. ...   0.   0.   0.]
 [  1.  63.  63. ...   1.   1.  31.]
 [  0.   0.   0. ...   0.   0.   0.]
 ...
 [  0.   0.   0. ...   2.   0.   0.]
 [  9.   2.   0. ...   0.  85. 134.]
 [  0.   5.  34. ...   3.   0.   0.]]"
obj33,55,"[[  0. 138.  95. ...   0.   0.   0.]
 [  1.  20.  49. ...   2.   0.   0.]
 [  1. 140.  69. ...   0.   0.   0.]
 ...
 [ 17.  23.  37. ...   0.   0.   6.]
 [  0.   4.  13. ...   0.   0.   1.]
 [ 59.  24.  22. ...   0.   0.   5.]]"
obj77,276,"[[  0.   0.   0. ...  11.   2.  24.]
 [  0.  19.  48. ...   0.   0.   0.]
 [115.  47.   0. ...   0.   1.   2.]
 ...
 [ 17.   6.   0. ...  13.   9.  13.]
 [  3.   0.   0. ...  14.   0.   1.]
 [  1.   0.   0. ...   9.   1.   0.]]"
obj23,23,"[[  0.   0.   8. ...   0.   0.   3.]
 [ 37.  77.  17. ...   0.   0.   0.]
 [ 11.   1.   1. ...   0.   0.   0.]
 ...
 [  0.   2.  50. ...   0.   0.   0.]
 [  4.  12.   0. ...   0.   0.   0.]
 [  0.  35. 100. ...   3.   1.   7.]]"
obj13,261,"[[ 6.  2.  2. ...  2.  0.  0.]
 [78. 83. 10. ...  1.  0.  0.]
 [ 4.  3.  9. ...  0.  0.  0.]
 ...
 [44.  0.  0. ... 28. 10. 11.]
 [ 0.  0.  0. ... 15.  7.  9.]
 [ 8.  0.  0. ...  0.  6. 68.]]"
obj27,70,"[[  8.   2.   1. ...   4.  17.  26.]
 [ 17.  48.  11. ...   0.   0.  33.]
 [142. 142.  23. ...   0.   0.   0.]
 ...
 [  4.  30.   5. ...   0.   0.   0.]
 [  1.  62. 143. ...   0.  51. 143.]
 [  0.   0.  69. ...  29.  38.   2.]]"
obj31,129,"[[ 13.  30.   8. ...   0.   0.   0.]
 [  9.   4.   6. ...   0.   0.   0.]
 [ 16.   6.   0. ...   0.   0.   9.]
 ...
 [  0.   1. 166. ...   0.   0.   0.]
 [  1.   3.  21. ...   0.   0.   4.]
 [  0.   0.   0. ...   0.   0.   0.]]"
obj52,19,"[[  0.   1.  63. ...   0.   0.   0.]
 [  0.   1.  50. ...   0.   0.   0.]
 [ 14.  87.  19. ...  37.  84.  63.]
 ...
 [  0.   0.  10. ...   0.   1.   4.]
 [  2.  40. 140. ...   0.   0.   0.]
 [ 19. 161.   6. ...   0.   0.   4.]]"
