obj_name,nb_kp,descriptors
Leopards,234,"[[26.  0.  0. ...  1.  2.  2.]
 [39.  3.  0. ...  1.  0. 10.]
 [19.  0.  0. ... 10. 62.  9.]
 ...
 [68.  1.  0. ...  2.  3.  1.]
 [95.  1.  0. ... 32. 53.  2.]
 [48.  0.  0. ...  0.  0.  5.]]"
stegosaurus,188,"[[ 0.  0.  0. ... 10.  5.  3.]
 [ 0.  0.  0. ... 24. 34.  4.]
 [19. 23.  5. ...  1.  3.  3.]
 ...
 [68. 11.  0. ...  2.  0.  2.]
 [62. 12.  1. ...  0.  0.  1.]
 [ 8. 35.  4. ...  0.  0.  2.]]"
stop_sign,78,"[[  0.   0.  10. ...   5.   0.  43.]
 [  2.   1.   0. ...   0.   0.   0.]
 [ 17.  43.   0. ...   0.   0.   1.]
 ...
 [  0.   0.   2. ...   0.   0.   0.]
 [  1.   0.   0. ...   0.   1. 132.]
 [  5. 138.   0. ...   0.   0.   4.]]"
airplanes,133,"[[  1.   1.   6. ...   0.   0.   0.]
 [ 61.  12.   1. ...   0.   0.   1.]
 [  2.  15.  40. ...   0.   0.   0.]
 ...
 [  9.   1.   0. ...   0.   0.   4.]
 [  9.   3.   1. ...   1. 159.  29.]
 [ 43.  67.   7. ...   0.  68.  25.]]"
car_side,231,"[[  0.   0.   0. ...   0.   0.   0.]
 [ 14. 139.  85. ...   1.  12.   9.]
 [ 12.  10.  11. ...   7.  85. 131.]
 ...
 [  0.   2.  73. ...   0.   6.  74.]
 [  0.   0.   0. ...   0.   7.  47.]
 [ 13.  11.  27. ...   0.   0.   0.]]"
Motorbikes,94,"[[ 15.   2.   4. ...   0.   6.  49.]
 [ 10.   0.   0. ...   0.   0.   4.]
 [  1.  13.  80. ...   0.   0.   1.]
 ...
 [  0.   0.   0. ...  22. 128.   2.]
 [  5.  41.  31. ...   0.   0.   2.]
 [  1.   7. 107. ...   0.   0.   8.]]"
ewer,111,"[[ 0.  0.  7. ...  7.  1. 12.]
 [ 1.  0.  7. ...  0.  0.  0.]
 [ 3.  1.  0. ...  0.  1.  3.]
 ...
 [ 0.  0.  0. ...  1.  0.  1.]
 [ 0.  0.  1. ...  0.  0.  0.]
 [ 0.  1. 30. ...  0.  0.  2.]]"
grand_piano,106,"[[ 20.  40.  31. ...   0.   0.   0.]
 [  0.   0.   0. ...   1.   0.   2.]
 [  0.   2.  36. ...   0.   0.   1.]
 ...
 [ 45.   8.  11. ...   0.   0.   0.]
 [ 22.  46. 136. ...   0.   0.   1.]
 [  2.   9.  64. ...   7.   4.   0.]]"
BACKGROUND_Google,176,"[[  0.   0.   0. ...   1.  12. 139.]
 [ 16.   1.   0. ...   0.   0.   0.]
 [  1.   1.   0. ...   4.   2.   6.]
 ...
 [  0.   0.   0. ...   2.   4. 139.]
 [  0.  22.  26. ...   0.   0.   1.]
 [  0.   0.   2. ...   1.   4.  20.]]"
Motorbikes,175,"[[47.  0.  0. ...  0.  0.  0.]
 [40. 13. 10. ...  0.  0.  0.]
 [ 1.  0.  1. ...  0.  0.  1.]
 ...
 [70. 24.  5. ...  0.  0.  0.]
 [ 8. 29. 13. ...  0.  0.  7.]
 [30. 80. 56. ...  0.  0.  0.]]"
snoopy,53,"[[ 0.  0.  0. ...  0.  0.  0.]
 [ 0.  0.  0. ...  0.  0.  9.]
 [ 9.  2.  0. ...  0.  0.  0.]
 ...
 [54.  0.  1. ...  0.  0.  0.]
 [ 0.  0. 34. ...  0.  0.  0.]
 [ 0.  0.  4. ... 31. 14.  1.]]"
pizza,265,"[[  0.   2.   3. ...   4.  20.  18.]
 [  4.  31. 141. ...   0.   0.   0.]
 [  5.   0.   0. ...   5.  10.   8.]
 ...
 [  2.   0.   0. ...   0.  12.  41.]
 [ 44.   0.   0. ...  59.   3.   0.]
 [  8.   0.   0. ...   7.   3.   7.]]"
wild_cat,292,"[[ 69.   3.   0. ...   2.  17.  64.]
 [  7.   2.  17. ...  43.  19.   7.]
 [  3.   8.   3. ...   0.   0.   1.]
 ...
 [  1.   0.   0. ...  34.   9.   6.]
 [101.  25.   2. ...   3.   2.   4.]
 [ 59.   4.   0. ...   4.  58. 103.]]"
airplanes,33,"[[  0.   1.  75. ...   1.   1.   0.]
 [  0.   0.   0. ...   0.   0.   3.]
 [ 60. 111.   3. ...   0.   0.   0.]
 ...
 [  2.   0.   0. ...   0.   0.   0.]
 [ 11.   2.   0. ...   0.   0.   3.]
 [ 35. 104.  21. ...   0.   2.   1.]]"
stop_sign,321,"[[  0.   0.  19. ...   2.   0.   0.]
 [ 11.  24.  25. ...   7.   0.  16.]
 [  3.   3.   0. ...   0.   0.   0.]
 ...
 [  6.   7.   3. ... 105.   9.   0.]
 [ 24.  21.  12. ...   0.   0.   1.]
 [  7.   0.  16. ...   0.   0.   0.]]"
Faces_easy,158,"[[  0.   0.   0. ...  21.   0.   0.]
 [  6.  10.  42. ...   0.   1.   4.]
 [  0.  83. 135. ...   0.   1.  22.]
 ...
 [  0.   0.   0. ...   0.   1.   0.]
 [  0.   0.   0. ...  45.  16.  21.]
 [  4.   0.   0. ...   0.   0.   0.]]"
nautilus,18,"[[ 15.   0.   0. ...   0.   0.   1.]
 [130.  23.   0. ...   1.   7.   1.]
 [  0.   0.   0. ...   0.   0.   1.]
 ...
 [  0.   0.   0. ...   0.   0.   0.]
 [  0.   0.   0. ...   0.   0.   0.]
 [  3.   4.   0. ...   0.   0.   0.]]"
butterfly,145,"[[ 0.  2. 17. ...  0.  0.  3.]
 [ 0. 12. 45. ...  7.  8.  9.]
 [ 1.  3.  7. ...  7. 32. 84.]
 ...
 [ 0.  2.  0. ... 20. 15.  0.]
 [ 0.  0.  4. ...  0.  5. 65.]
 [ 0.  0.  9. ...  0. 11. 17.]]"
gramophone,139,"[[  2.   6.   2. ...   0.   0.   2.]
 [136.  13.   0. ...   0.   0.   5.]
 [ 21.   4.   0. ...   0.   0.   9.]
 ...
 [  2.   0.   0. ...   0.   0.   6.]
 [ 23.  34.   4. ...   0.   0.   0.]
 [ 16.   7.   2. ...   0.   0.   0.]]"
headphone,115,"[[  0.   0.  22. ...   4.  19.  24.]
 [141.  38.   5. ...   0.   4.  45.]
 [  3.   1.   0. ...  83.   8.   0.]
 ...
 [  4.  42.  79. ...   3.   1.   7.]
 [ 12.   4.   6. ...   2.   0.   1.]
 [  9.  52.   0. ...   9.   8.  16.]]"
cougar_body,149,"[[19. 13.  0. ...  1.  0.  0.]
 [87. 25.  0. ...  0.  0.  0.]
 [91. 21.  0. ...  0.  0.  0.]
 ...
 [ 0.  2. 14. ... 79. 56. 31.]
 [ 2.  9. 62. ... 21.  8.  0.]
 [13. 19.  5. ...  2.  0.  0.]]"
Motorbikes,130,"[[ 45.  11.   0. ...   0.   0.   0.]
 [ 22.   4.   5. ...   0.   0.   0.]
 [129.   2.   0. ...   0.   0.   6.]
 ...
 [138.   7.   0. ...   0.   0.  60.]
 [ 14.   3.   0. ...  38.   6.   3.]
 [ 48.  14.   2. ...   0.   0.   5.]]"
airplanes,126,"[[  4.   0.   0. ...   2.   0.  14.]
 [ 57.   7.   1. ...   0.   0.   0.]
 [  0.   0.  22. ...   1.   2.   9.]
 ...
 [ 39. 136.  29. ...   0.   0.   0.]
 [  5.  27.   6. ...   3.   2.  20.]
 [  0.   0.   0. ...   2.  14. 142.]]"
pigeon,104,"[[ 92. 100.   8. ...   1.   0.   7.]
 [ 26.   1.   1. ...   4.   2.   1.]
 [  0.   0.   0. ...   1.   0.   0.]
 ...
 [  9.   0.   0. ...  14.   1.   1.]
 [  0.   1.   3. ...   5.   0.   0.]
 [ 67.  10.   1. ...  12.   0.   0.]]"
barrel,74,"[[ 38.   3.   0. ...   2.   1.   0.]
 [  0.   0.   0. ...   0.   3.   6.]
 [ 46.  20.   3. ...   0.   0.   0.]
 ...
 [  1.   7.   6. ...   3.   1.   1.]
 [  0.   9.  78. ...   0.   0.   1.]
 [176.   9.   0. ...   0.   0.   0.]]"
Motorbikes,153,"[[ 15.  30.   9. ...  19.   3.   1.]
 [ 53.   2.   5. ...  10.  66.  25.]
 [ 10.  63. 118. ...   0.   0.   0.]
 ...
 [ 21.   1.   0. ...   4.   1.  14.]
 [ 10.   6. 127. ...  14.  27.  29.]
 [  0.   0.   0. ...   0.   0.  14.]]"
ferry,131,"[[ 25.   7.   0. ...  31.  40.   1.]
 [  0.   0.   0. ...   5.   0.   0.]
 [ 88.  37.   0. ...   4.  15.   7.]
 ...
 [  0.   1. 136. ...   0.   0.   4.]
 [  2.   3.   0. ...   0.   0.   0.]
 [  0.   2.  14. ...   0.   0.   2.]]"
BACKGROUND_Google,118,"[[ 47.  18.   3. ...   0.   0.   0.]
 [ 75.   9.  18. ...  19. 113.  43.]
 [  0.   0.   3. ...   0.   0.   0.]
 ...
 [  4.   5.  11. ...   0.   0.   0.]
 [ 17.   7.   0. ...  49.  36.  15.]
 [  4.   0.   0. ...   6.   6.   5.]]"
BACKGROUND_Google,119,"[[ 40. 155.  64. ...   0.   0.   0.]
 [  0.   1.   3. ...   0.   0.   0.]
 [ 37.   8.   5. ...   0.   0.   0.]
 ...
 [  0.   0.   0. ...   2.   1.  13.]
 [  1.   6.   7. ...   4.   1.   0.]
 [  8.   4.  60. ...   0.   0.   0.]]"
starfish,173,"[[ 68.   4.   0. ...   0.   0.   0.]
 [  2.   0.   0. ...   2.   4.   5.]
 [ 20.   0.   0. ...   2.  21.  14.]
 ...
 [167.  69.   0. ...   1.   4.  29.]
 [  7.   0.   0. ...  40.   1.   0.]
 [ 21.   2.   0. ...  27.   7.   9.]]"
Motorbikes,168,"[[ 1. 57.  5. ...  0.  0.  3.]
 [ 3.  1. 16. ...  0.  0.  7.]
 [ 6. 16. 22. ...  0.  0.  1.]
 ...
 [ 1.  0.  0. ...  5.  4. 27.]
 [17.  0.  0. ...  1.  0.  0.]
 [ 9.  0.  0. ...  3.  0.  0.]]"
crocodile,113,"[[  2.   1.   1. ...   0.   0.   0.]
 [  2.  22.  50. ...   0.   0.   4.]
 [  9.   0.   0. ...   0.   0.  26.]
 ...
 [  2. 124. 124. ...   0.   0. 108.]
 [ 54.  52.  13. ...   0.   0.   0.]
 [ 26.   0.   0. ...   0.   0.   0.]]"
Leopards,120,"[[ 4.  0.  0. ...  0.  0.  0.]
 [ 8.  0.  0. ...  7. 10. 33.]
 [12. 21.  0. ...  0.  6. 33.]
 ...
 [33. 22.  1. ... 28. 54. 11.]
 [34.  2.  0. ...  1.  1.  1.]
 [ 9.  0.  0. ... 13.  8. 25.]]"
Faces_easy,140,"[[ 4.  0.  1. ...  0.  0.  6.]
 [26.  9.  4. ... 23.  5.  4.]
 [ 4.  2.  2. ...  2. 80. 11.]
 ...
 [ 0.  0.  0. ... 87. 50. 30.]
 [11. 14.  6. ...  0.  0.  0.]
 [ 2.  0.  0. ...  1.  1.  2.]]"
Motorbikes,197,"[[ 0.  0.  1. ...  0.  0.  0.]
 [ 0.  0.  3. ...  0.  0.  0.]
 [33.  0.  0. ...  0.  0.  1.]
 ...
 [ 8.  0.  0. ...  0.  0.  0.]
 [ 5.  0.  0. ...  0.  0.  0.]
 [ 1.  1.  1. ...  0.  0.  0.]]"
